"region","species_name","species_qualified","cuid","cu_name_pse","year","estimated_count","observed_count","source_id"
"Fraser","Steelhead","SH",781,"Thompson Summer",1997,3000,3000,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1998,1470,1470,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",1999,2520,2520,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2000,1500,1500,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2001,1810,1810,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2002,3160,3160,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2003,1480,1480,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2004,950,950,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2005,2440,2440,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2006,1660,1660,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2007,740,740,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2008,1160,1160,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2009,690,690,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2010,590,590,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2011,520,520,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2012,1000,1000,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2013,1090,1090,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2014,1300,1300,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2015,850,850,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2016,360,360,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2017,240,494,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2018,150,150,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2019,240,240,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2020,257,257,"Bison_20210820"
"Fraser","Steelhead","SH",781,"Thompson Summer",2021,203,406,"Bison_20210806"
"Fraser","Steelhead","SH",781,"Thompson Summer",2022,104,208,"Bison_20220715"
"Fraser","Steelhead","SH",781,"Thompson Summer",2023,371,371,"Bison_20230828"
